Course Code,Title,Section,Faculty Full Name,Day,Start Time,End Time,Start_Time_24hr,End_Time_24hr,Days_List,Cr.
ACT 2111,Financial and Managerial Accounting,B,Israt Jabin,S,09:51:AM,11:10:AM,951,1110,['S'],3.0
ACT 2111,Financial and Managerial Accounting,C,Ishrat Jahan,U,03:11:PM,04:30:PM,1511,1630,['U'],3.0
ACT 2111,Financial and Managerial Accounting,A,Ishrat Jahan,S,09:51:AM,11:10:AM,951,1110,['S'],3.0
BDS 1201,History of the Emergence of Bangladesh,AC,Al Jamal Mustafa Shindaini,S,08:30:AM,09:50:AM,830,950,['S'],2.0
BDS 1201,History of the Emergence of Bangladesh,AD,Mabia Momen,U,08:30:AM,09:50:AM,830,950,['U'],2.0
BDS 1201,History of the Emergence of Bangladesh,AE,Md. Ashraf Aziz Ishrak Fahim,U,01:51:PM,03:10:PM,1351,1510,['U'],2.0
BDS 1201,History of the Emergence of Bangladesh,AF,Nazmul Huda,S,11:11:AM,12:30:PM,1111,1230,['S'],2.0
BDS 1201,History of the Emergence of Bangladesh,AG,Nazmul Huda,S,12:31:PM,01:50:PM,1231,1350,['S'],2.0
BDS 1201,History of the Emergence of Bangladesh,AH,Md. Ashraf Aziz Ishrak Fahim,U,03:11:PM,04:30:PM,1511,1630,['U'],2.0
BDS 1201,History of the Emergence of Bangladesh,AA,Al Jamal Mustafa Shindaini,S,09:51:AM,11:10:AM,951,1110,['S'],2.0
BDS 1201,History of the Emergence of Bangladesh,AB,Mabia Momen,U,09:51:AM,11:10:AM,951,1110,['U'],2.0
BIO 3105,Biology for Engineers,A,Muhammad Sibgatullah Zunnun,S,09:51:AM,11:10:AM,951,1110,['S'],3.0
BIO 3105,Biology for Engineers,B,Hasin Anupama Azhari,S,11:11:AM,12:30:PM,1111,1230,['S'],3.0
BIO 3105,Biology for Engineers,C,Hasin Anupama Azhari,S,12:31:PM,01:50:PM,1231,1350,['S'],3.0
BIO 3105,Biology for Engineers,D,Mobashara Islam,S,01:51:PM,03:10:PM,1351,1510,['S'],3.0
BIO 3105,Biology for Engineers,E,Nahid Tamanna,S,08:30:AM,09:50:AM,830,950,['S'],3.0
